dolar amerykański;USD;4.5167;4.6079
dolar australijski;AUD;3.0228;3.0838
dolar kanadyjski;CAD;3.3982;3.4668
euro;EUR;4.658;4.7522
forint (Węgry);HUF;0.011393;0.011623
frank szwajcarski;CHF;4.7669;4.8633
funt szterling;GBP;5.3005;5.4075
jen (Japonia);JPY;0.032127;0.032777
korona czeska;CZK;0.1917;0.1955
korona duńska;DKK;0.6262;0.6388
korona norweska;NOK;0.4504;0.4594
korona szwedzka;SEK;0.4313;0.4401
SDR (MFW);XDR;5.9156;6.0352
